recording,n_states,total_rem_s,n_rem_periods,n_windows,eog_threshold_uV,pct_tonic,pct_phasic,label_flipped,ari,nmi
SC4001E0,2,3750.0,6,935,54.77,29.0,71.0,True,-0.012,0.001
SC4002E0,2,6450.0,12,1610,47.08,72.7,27.3,False,0.025,0.004
SC4011E0,2,5100.0,8,1272,71.96,77.8,22.2,False,0.095,0.028
SC4012E0,2,5280.0,18,1316,109.06,83.3,16.7,False,0.093,0.023
SC4021E0,2,4890.0,15,1217,66.97,71.0,29.0,False,0.076,0.031
SC4022E0,2,5370.0,11,1339,98.73,76.3,23.7,False,0.166,0.081
SC4031E0,2,6270.0,10,1564,71.82,69.0,31.0,False,0.082,0.042
SC4032E0,2,5970.0,12,1490,76.21,85.4,14.6,False,0.134,0.037
SC4041E0,2,5880.0,24,1464,69.13,72.5,27.5,False,0.127,0.068
SC4042E0,2,8100.0,33,2017,71.77,76.4,23.6,False,0.189,0.097
SC4051E0,2,2040.0,3,509,35.71,73.7,26.3,False,-0.001,0.0
SC4052E0,2,5400.0,12,1347,66.04,78.2,21.8,False,0.047,0.008
SC4061E0,2,3060.0,4,764,69.11,77.0,23.0,False,0.098,0.03
SC4062E0,2,5610.0,6,1401,61.8,74.9,25.1,False,0.071,0.02
SC4071E0,2,5940.0,11,1484,54.41,75.7,24.3,False,0.013,0.001
SC4072E0,2,5040.0,31,1251,72.71,73.9,26.1,False,0.039,0.009
SC4081E0,2,3930.0,4,981,98.78,20.1,79.9,True,-0.027,0.003
SC4082E0,2,7800.0,8,1947,98.53,16.7,83.3,True,0.001,0.0
SC4091E0,2,6960.0,17,1737,43.95,75.6,24.4,False,0.03,0.004
SC4092E0,2,7950.0,12,1985,51.08,78.1,21.9,False,0.156,0.073
SC4101E0,2,6210.0,4,1551,80.87,75.0,25.0,False,0.088,0.034
SC4102E0,2,5970.0,3,1491,94.65,71.0,29.0,False,0.098,0.052
SC4111E0,2,4740.0,6,1182,66.85,83.2,16.8,False,-0.017,0.001
SC4112E0,2,4530.0,7,1130,45.68,80.2,19.8,False,0.048,0.009
SC4121E0,2,7740.0,8,1932,37.99,74.1,25.9,False,0.046,0.011
SC4122E0,2,5970.0,5,1491,45.85,74.4,25.6,False,0.043,0.01
SC4131E0,2,5160.0,12,1286,71.34,74.1,25.9,False,0.107,0.044
SC4141E0,2,6990.0,7,1746,46.03,71.4,28.6,False,0.034,0.008
SC4142E0,2,6390.0,8,1595,38.71,70.0,30.0,False,0.01,0.001
SC4151E0,2,6240.0,4,1559,96.48,74.9,25.1,False,0.057,0.014
SC4152E0,2,8760.0,8,2188,93.02,79.8,20.2,False,0.033,0.004
SC4161E0,2,7800.0,8,1948,59.44,78.4,21.6,False,0.047,0.008
SC4162E0,2,5850.0,6,1460,44.3,68.4,31.6,False,0.031,0.009
SC4171E0,2,7860.0,10,1963,47.18,24.1,75.9,True,-0.021,0.003
SC4172E0,2,4950.0,17,1233,69.73,57.4,42.6,False,-0.003,0.001
SC4181E0,2,3540.0,4,885,45.89,70.6,29.4,False,0.037,0.011
SC4182E0,2,3480.0,9,867,57.6,57.6,42.4,False,0.013,0.01
SC4191E0,2,8580.0,18,2140,69.48,76.4,23.6,False,0.06,0.019
SC4192E0,2,9960.0,12,2488,46.69,61.7,38.3,False,0.041,0.028
SC4201E0,2,5310.0,6,1326,112.79,64.4,35.6,False,0.117,0.101
SC4202E0,2,6210.0,5,1551,96.69,73.5,26.5,False,0.194,0.118
SC4211E0,2,4530.0,5,1131,30.34,0.1,99.9,True,-0.002,0.0
SC4212E0,2,2610.0,2,652,32.26,82.5,17.5,False,0.16,0.055
SC4221E0,2,5460.0,9,1362,46.5,75.3,24.7,False,0.111,0.043
SC4222E0,2,6600.0,9,1647,63.0,72.4,27.6,False,0.099,0.043
SC4231E0,2,6360.0,11,1586,93.98,74.9,25.1,False,0.097,0.034
SC4232E0,2,6510.0,16,1622,91.16,84.8,15.2,False,0.21,0.079
SC4241E0,2,5520.0,3,1379,100.18,65.9,34.1,False,0.136,0.114
SC4242E0,2,5280.0,15,1316,122.26,65.0,35.0,False,0.09,0.065
SC4251E0,2,4380.0,8,1093,54.07,74.8,25.2,False,0.05,0.013
SC4252E0,2,5220.0,3,1304,57.74,72.4,27.6,False,0.055,0.017
SC4261F0,2,6780.0,16,1691,40.93,93.1,6.9,False,0.001,0.0
SC4262F0,2,5790.0,7,1446,42.01,77.9,22.1,False,0.161,0.073
SC4271F0,2,5220.0,3,1304,51.06,73.3,26.7,False,0.042,0.01
SC4272F0,2,6690.0,16,1669,38.35,77.0,23.0,False,0.067,0.017
SC4281G0,2,5070.0,4,1267,41.04,58.2,41.8,False,0.028,0.022
SC4282G0,2,4980.0,3,1244,29.43,61.4,38.6,False,0.014,0.005
SC4291G0,2,5250.0,34,1304,93.49,62.8,37.2,False,0.067,0.05
SC4292G0,2,6600.0,14,1647,96.26,62.4,37.6,False,0.078,0.068
SC4301E0,2,3660.0,7,913,78.66,73.9,26.1,False,0.121,0.052
SC4302E0,2,4050.0,8,1010,72.21,78.4,21.6,False,0.089,0.027
SC4311E0,2,4260.0,4,1064,85.7,72.7,27.3,False,0.001,0.0
