state,feature,mean,std,state_label
0,sawtooth_fpz,-0.337,0.445,tonic
0,theta_fpz,-0.317,0.605,tonic
0,delta_fpz,-0.34,0.395,tonic
0,spindle_pzoz,-0.08,0.777,tonic
0,theta_pzoz,-0.174,0.771,tonic
0,delta_theta_pzoz,-0.088,0.734,tonic
1,sawtooth_fpz,0.12,0.975,transition
1,theta_fpz,0.207,1.103,transition
1,delta_fpz,0.1,0.965,transition
1,spindle_pzoz,0.089,1.137,transition
1,theta_pzoz,0.18,1.145,transition
1,delta_theta_pzoz,-0.02,1.052,transition
2,sawtooth_fpz,0.766,1.57,phasic
2,theta_fpz,0.554,1.336,phasic
2,delta_fpz,0.807,1.6,phasic
2,spindle_pzoz,0.076,1.263,phasic
2,theta_pzoz,0.188,1.205,phasic
2,delta_theta_pzoz,0.289,1.428,phasic
