recording,n_states,total_rem_s,n_rem_periods,n_windows,eog_threshold_uV,pct_tonic,pct_transition,pct_phasic,label_flipped,ari,nmi
SC4001E0,3,3750.0,6,935,54.77,41.0,7.5,51.6,True,-0.002,0.01
SC4002E0,3,6450.0,12,1610,47.08,0.3,79.3,20.4,False,0.039,0.007
SC4011E0,3,5100.0,8,1272,71.96,85.5,14.2,0.2,False,0.126,0.032
SC4012E0,3,5280.0,18,1316,109.06,67.9,4.3,27.8,False,0.058,0.035
SC4021E0,3,4890.0,15,1217,66.97,53.8,32.4,13.8,False,0.061,0.039
SC4022E0,3,5370.0,11,1339,98.73,60.0,34.1,5.8,False,0.076,0.046
SC4031E0,3,6270.0,10,1564,71.82,8.6,67.8,23.6,False,0.077,0.043
SC4032E0,3,5970.0,12,1490,76.21,60.7,32.6,6.8,False,0.071,0.037
SC4041E0,3,5880.0,24,1464,69.13,69.7,5.4,24.9,False,0.117,0.061
SC4042E0,3,8100.0,33,2017,71.77,62.9,30.4,6.7,False,0.107,0.062
SC4051E0,3,2040.0,3,509,35.71,71.5,0.2,28.3,False,-0.007,0.001
SC4052E0,3,5400.0,12,1347,66.04,62.7,7.5,29.8,False,0.024,0.005
SC4061E0,3,3060.0,4,764,69.11,34.8,46.7,18.5,False,0.023,0.028
SC4062E0,3,5610.0,6,1401,61.8,64.0,28.7,7.4,False,0.055,0.019
SC4071E0,3,5940.0,11,1484,54.41,73.6,26.2,0.2,False,0.019,0.004
SC4072E0,3,5040.0,31,1251,72.71,55.6,32.8,11.7,False,0.05,0.034
SC4081E0,3,3930.0,4,981,98.78,10.3,53.5,36.2,False,-0.001,0.006
SC4082E0,3,7800.0,8,1947,98.53,10.6,42.5,46.8,False,-0.003,0.002
SC4091E0,3,6960.0,17,1737,43.95,61.4,8.1,30.5,False,0.053,0.026
SC4092E0,3,7950.0,12,1985,51.08,60.8,30.3,8.9,False,0.087,0.053
SC4101E0,3,6210.0,4,1551,80.87,57.7,9.4,32.9,False,0.05,0.028
SC4102E0,3,5970.0,3,1491,94.65,59.4,33.8,6.8,False,0.077,0.051
SC4111E0,3,4740.0,6,1182,66.85,4.7,69.6,25.6,False,0.012,0.011
SC4112E0,3,4530.0,7,1130,45.68,59.8,32.0,8.1,False,0.027,0.008
SC4121E0,3,7740.0,8,1932,37.99,54.3,35.3,10.4,False,0.027,0.011
SC4122E0,3,5970.0,5,1491,45.85,53.4,35.1,11.5,False,0.028,0.012
SC4131E0,3,5160.0,12,1286,71.34,0.2,71.2,28.7,False,0.096,0.045
SC4141E0,3,6990.0,7,1746,46.03,28.1,52.3,19.6,False,-0.003,0.005
SC4142E0,3,6390.0,8,1595,38.71,48.8,41.4,9.8,False,0.007,0.004
SC4151E0,3,6240.0,4,1559,96.48,47.1,10.8,42.1,False,0.007,0.014
SC4152E0,3,8760.0,8,2188,93.02,47.8,12.8,39.4,False,0.01,0.015
SC4161E0,3,7800.0,8,1948,59.44,59.7,11.4,28.9,False,0.047,0.027
SC4162E0,3,5850.0,6,1460,44.3,79.0,18.5,2.5,False,0.102,0.03
SC4171E0,3,7860.0,10,1963,47.18,11.8,69.0,19.2,False,-0.021,0.011
SC4172E0,3,4950.0,17,1233,69.73,29.8,56.0,14.1,False,-0.001,0.004
SC4181E0,3,3540.0,4,885,45.89,49.8,12.8,37.4,False,0.015,0.013
SC4182E0,3,3480.0,9,867,57.6,13.7,62.2,24.1,False,0.018,0.015
SC4191E0,3,8580.0,18,2140,69.48,53.3,7.1,39.6,False,0.016,0.018
SC4192E0,3,9960.0,12,2488,46.69,52.9,8.3,38.8,False,0.038,0.033
