recording,n_states,total_rem_s,n_rem_periods,n_bursts,n_tonic_segs,n_events,eog_threshold_uV,pct_tonic,pct_phasic,label_flipped,ari,nmi
SC4001E0,2,3750.0,6,155,91,246,54.77,59.3,40.7,False,0.305,0.399
SC4002E0,2,6450.0,12,251,147,398,47.08,60.3,39.7,False,0.303,0.288
SC4011E0,2,5100.0,8,186,108,294,71.96,84.0,16.0,False,-0.06,0.103
SC4012E0,2,5280.0,18,226,129,355,109.06,83.4,16.6,False,-0.025,0.002
SC4021E0,2,4890.0,15,198,113,311,66.97,70.7,29.3,False,-0.018,0.063
SC4022E0,2,5370.0,11,236,126,362,98.73,81.5,18.5,False,-0.039,0.105
SC4031E0,2,6270.0,10,253,133,386,71.82,68.9,31.1,False,0.063,0.206
SC4032E0,2,5970.0,12,223,145,368,76.21,41.6,58.4,True,0.794,0.695
SC4041E0,2,5880.0,24,236,130,366,69.13,91.3,8.7,False,-0.045,0.063
SC4042E0,2,8100.0,33,334,197,531,71.77,78.3,21.7,False,-0.006,0.126
SC4051E0,2,2040.0,3,63,44,107,35.71,86.9,13.1,False,-0.022,0.047
SC4052E0,2,5400.0,12,228,141,369,66.04,87.0,13.0,False,-0.029,0.031
SC4061E0,2,3060.0,4,118,64,182,69.11,73.6,26.4,False,0.021,0.184
SC4062E0,2,5610.0,6,220,126,346,61.8,86.7,13.3,False,-0.041,0.07
SC4071E0,2,5940.0,11,237,138,375,54.41,36.5,63.5,True,0.826,0.722
SC4072E0,2,5040.0,31,237,159,396,72.71,77.8,22.2,False,-0.012,0.005
SC4081E0,2,3930.0,4,176,99,275,98.78,86.5,13.5,False,-0.044,0.077
SC4082E0,2,7800.0,8,374,200,574,98.53,82.9,17.1,False,-0.035,0.024
SC4091E0,2,6960.0,17,238,152,390,43.95,35.1,64.9,True,0.705,0.597
SC4092E0,2,7950.0,12,274,140,414,51.08,76.6,23.4,False,-0.023,0.118
SC4101E0,2,6210.0,4,261,140,401,80.87,73.1,26.9,False,0.01,0.139
SC4102E0,2,5970.0,3,254,139,393,94.65,77.9,22.1,False,-0.019,0.114
SC4111E0,2,4740.0,6,215,117,332,66.85,89.8,10.2,False,-0.046,0.056
SC4112E0,2,4530.0,7,184,97,281,45.68,84.3,15.7,False,-0.049,0.108
SC4121E0,2,7740.0,8,219,128,347,37.99,31.1,68.9,True,0.78,0.72
SC4122E0,2,5970.0,5,209,113,322,45.85,81.4,18.6,False,-0.038,0.077
SC4131E0,2,5160.0,12,222,127,349,71.34,56.2,43.8,False,0.297,0.328
SC4141E0,2,6990.0,7,269,151,420,46.03,63.8,36.2,False,0.181,0.308
SC4142E0,2,6390.0,8,233,135,368,38.71,67.7,32.3,False,0.063,0.148
SC4151E0,2,6240.0,4,269,137,406,96.48,76.6,23.4,False,-0.032,0.036
SC4152E0,2,8760.0,8,390,234,624,93.02,78.4,21.6,False,-0.016,0.006
SC4161E0,2,7800.0,8,310,184,494,59.44,75.7,24.3,False,-0.001,0.097
SC4162E0,2,5850.0,6,216,126,342,44.3,90.1,9.9,False,-0.043,0.099
SC4171E0,2,7860.0,10,313,152,465,47.18,85.6,14.4,False,-0.028,0.008
SC4172E0,2,4950.0,17,232,129,361,69.73,32.7,67.3,True,0.091,0.046
SC4181E0,2,3540.0,4,140,79,219,45.89,79.9,20.1,False,-0.022,0.008
SC4182E0,2,3480.0,9,152,90,242,57.6,64.5,35.5,False,0.027,0.066
SC4191E0,2,8580.0,18,435,224,659,69.48,78.1,21.9,False,-0.031,0.101
SC4192E0,2,9960.0,12,484,248,732,46.69,55.5,44.5,False,0.235,0.269
SC4201E0,2,5310.0,6,241,117,358,112.79,76.8,23.2,False,-0.038,0.057
SC4202E0,2,6210.0,5,240,133,373,96.69,69.2,30.8,False,0.011,0.08
SC4211E0,2,4530.0,5,144,97,241,30.34,71.0,29.0,False,0.063,0.139
SC4212E0,2,2610.0,2,95,62,157,32.26,66.9,33.1,False,0.113,0.186
SC4221E0,2,5460.0,9,186,93,279,46.5,68.8,31.2,False,0.036,0.164
SC4222E0,2,6600.0,9,261,134,395,63.0,74.4,25.6,False,-0.015,0.102
SC4231E0,2,6360.0,11,216,133,349,93.98,79.9,20.1,False,0.005,0.191
SC4232E0,2,6510.0,16,229,157,386,91.16,73.3,26.7,False,0.061,0.152
SC4241E0,2,5520.0,3,239,121,360,100.18,52.5,47.5,False,0.248,0.253
SC4242E0,2,5280.0,15,248,124,372,122.26,62.4,37.6,False,0.118,0.212
SC4251E0,2,4380.0,8,187,119,306,54.07,85.6,14.4,False,-0.027,0.039
SC4252E0,2,5220.0,3,225,128,353,57.74,68.8,31.2,False,0.067,0.175
SC4261F0,2,6780.0,16,248,156,404,40.93,7.2,92.8,True,0.007,0.001
SC4262F0,2,5790.0,7,206,108,314,42.01,82.2,17.8,False,-0.044,0.079
SC4271F0,2,5220.0,3,207,124,331,51.06,39.3,60.7,True,0.772,0.664
SC4272F0,2,6690.0,16,207,130,337,38.35,90.8,9.2,False,-0.034,0.073
SC4281G0,2,5070.0,4,173,111,284,41.04,81.7,18.3,False,-0.003,0.151
SC4282G0,2,4980.0,3,132,93,225,29.43,40.4,59.6,True,0.862,0.776
SC4291G0,2,5250.0,34,230,120,350,93.49,82.3,17.7,False,-0.044,0.11
SC4292G0,2,6600.0,14,269,153,422,96.26,71.8,28.2,False,0.026,0.132
SC4301E0,2,3660.0,7,147,90,237,78.66,73.8,26.2,False,0.038,0.164
SC4302E0,2,4050.0,8,175,93,268,72.21,78.4,21.6,False,-0.027,0.114
SC4311E0,2,4260.0,4,198,96,294,85.7,74.1,25.9,False,-0.027,0.074
SC4312E0,2,5730.0,35,228,148,376,67.25,4.3,95.7,True,0.017,0.011
