recording,n_states,total_rem_s,n_rem_periods,n_bursts,n_tonic_segs,n_events,eog_threshold_uV,pct_tonic,pct_transition,pct_phasic,label_flipped,ari,nmi
SC4001E0,3,3750.0,6,155,91,246,54.77,22.0,56.9,21.1,False,0.065,0.119
SC4002E0,3,6450.0,12,251,147,398,47.08,32.9,51.5,15.6,False,0.216,0.295
SC4011E0,3,5100.0,8,186,108,294,71.96,34.0,11.6,54.4,True,0.255,0.284
SC4012E0,3,5280.0,18,226,129,355,109.06,40.8,47.3,11.8,False,0.071,0.088
SC4021E0,3,4890.0,15,198,113,311,66.97,32.5,61.1,6.4,False,0.257,0.249
SC4022E0,3,5370.0,11,236,126,362,98.73,32.6,11.0,56.4,True,0.623,0.569
SC4031E0,3,6270.0,10,253,133,386,71.82,34.2,24.1,41.7,False,0.558,0.65
SC4032E0,3,5970.0,12,223,145,368,76.21,38.0,10.6,51.4,True,0.692,0.629
SC4041E0,3,5880.0,24,236,130,366,69.13,32.5,10.9,56.6,True,0.62,0.568
SC4042E0,3,8100.0,33,334,197,531,71.77,35.4,48.2,16.4,False,0.655,0.657
SC4051E0,3,2040.0,3,63,44,107,35.71,46.7,21.5,31.8,False,0.387,0.407
SC4052E0,3,5400.0,12,228,141,369,66.04,36.6,5.4,58.0,True,0.695,0.603
SC4061E0,3,3060.0,4,118,64,182,69.11,33.0,45.1,22.0,False,0.583,0.648
SC4062E0,3,5610.0,6,220,126,346,61.8,39.0,54.3,6.6,False,0.649,0.575
SC4071E0,3,5940.0,11,237,138,375,54.41,36.8,12.3,50.9,True,0.677,0.639
SC4072E0,3,5040.0,31,237,159,396,72.71,38.4,14.4,47.2,False,0.693,0.675
SC4081E0,3,3930.0,4,176,99,275,98.78,49.1,18.2,32.7,False,0.229,0.32
SC4082E0,3,7800.0,8,374,200,574,98.53,3.5,74.0,22.5,False,-0.019,0.052
SC4091E0,3,6960.0,17,238,152,390,43.95,32.8,22.3,44.9,False,0.534,0.532
SC4092E0,3,7950.0,12,274,140,414,51.08,30.2,58.7,11.1,False,0.56,0.496
SC4101E0,3,6210.0,4,261,140,401,80.87,32.7,49.1,18.2,False,0.605,0.616
SC4102E0,3,5970.0,3,254,139,393,94.65,34.1,56.2,9.7,False,0.709,0.668
SC4111E0,3,4740.0,6,215,117,332,66.85,37.0,61.7,1.2,False,0.604,0.483
SC4112E0,3,4530.0,7,184,97,281,45.68,33.1,56.2,10.7,False,0.706,0.69
SC4121E0,3,7740.0,8,219,128,347,37.99,32.6,21.0,46.4,False,0.575,0.597
SC4122E0,3,5970.0,5,209,113,322,45.85,31.7,8.4,59.9,True,0.704,0.64
SC4131E0,3,5160.0,12,222,127,349,71.34,35.5,17.8,46.7,False,0.612,0.622
SC4141E0,3,6990.0,7,269,151,420,46.03,35.7,42.4,21.9,False,0.603,0.674
SC4142E0,3,6390.0,8,233,135,368,38.71,32.3,18.8,48.9,False,0.531,0.507
SC4151E0,3,6240.0,4,269,137,406,96.48,6.7,62.3,31.0,False,0.047,0.122
SC4152E0,3,8760.0,8,390,234,624,93.02,29.6,19.4,51.0,True,0.566,0.515
SC4161E0,3,7800.0,8,310,184,494,59.44,49.6,16.6,33.8,False,0.263,0.315
SC4162E0,3,5850.0,6,216,126,342,44.3,31.6,57.0,11.4,False,0.598,0.542
SC4171E0,3,7860.0,10,313,152,465,47.18,29.7,13.8,56.6,True,0.62,0.554
SC4172E0,3,4950.0,17,232,129,361,69.73,23.0,67.3,9.7,False,0.132,0.133
SC4181E0,3,3540.0,4,140,79,219,45.89,30.6,13.2,56.2,True,0.675,0.598
SC4182E0,3,3480.0,9,152,90,242,57.6,37.6,19.4,43.0,False,0.305,0.263
SC4191E0,3,8580.0,18,435,224,659,69.48,30.3,61.2,8.5,False,0.674,0.624
SC4192E0,3,9960.0,12,484,248,732,46.69,31.8,39.2,29.0,False,0.516,0.592
SC4201E0,3,5310.0,6,241,117,358,112.79,29.3,53.6,17.0,False,0.578,0.584
SC4202E0,3,6210.0,5,240,133,373,96.69,60.1,22.8,17.2,False,-0.004,0.08
SC4211E0,3,4530.0,5,144,97,241,30.34,37.3,28.6,34.0,False,0.507,0.529
SC4212E0,3,2610.0,2,95,62,157,32.26,42.7,52.9,4.5,False,0.616,0.506
SC4221E0,3,5460.0,9,186,93,279,46.5,31.5,43.4,25.1,False,0.543,0.615
SC4222E0,3,6600.0,9,261,134,395,63.0,31.6,47.6,20.8,False,0.534,0.553
SC4231E0,3,6360.0,11,216,133,349,93.98,39.8,16.0,44.1,False,0.559,0.542
SC4232E0,3,6510.0,16,229,157,386,91.16,39.6,37.6,22.8,False,0.607,0.641
SC4241E0,3,5520.0,3,239,121,360,100.18,31.9,10.8,57.2,True,0.644,0.561
SC4242E0,3,5280.0,15,248,124,372,122.26,34.9,48.7,16.4,False,0.555,0.557
SC4251E0,3,4380.0,8,187,119,306,54.07,37.9,47.7,14.4,False,0.636,0.602
SC4252E0,3,5220.0,3,225,128,353,57.74,34.6,24.6,40.8,False,0.554,0.603
SC4261F0,3,6780.0,16,248,156,404,40.93,77.2,6.7,16.1,False,-0.014,0.07
SC4262F0,3,5790.0,7,206,108,314,42.01,32.2,33.1,34.7,False,0.42,0.457
SC4271F0,3,5220.0,3,207,124,331,51.06,36.3,41.1,22.7,False,0.58,0.633
SC4272F0,3,6690.0,16,207,130,337,38.35,39.5,12.5,48.1,False,0.553,0.513
SC4281G0,3,5070.0,4,173,111,284,41.04,37.0,33.8,29.2,False,0.51,0.542
SC4282G0,3,4980.0,3,132,93,225,29.43,40.4,16.9,42.7,False,0.65,0.653
SC4291G0,3,5250.0,34,230,120,350,93.49,67.7,2.6,29.7,False,0.054,0.2
SC4292G0,3,6600.0,14,269,153,422,96.26,29.4,56.6,14.0,False,0.503,0.472
SC4301E0,3,3660.0,7,147,90,237,78.66,37.6,41.4,21.1,False,0.547,0.563
SC4302E0,3,4050.0,8,175,93,268,72.21,31.0,11.6,57.5,True,0.616,0.565
SC4311E0,3,4260.0,4,198,96,294,85.7,18.0,69.0,12.9,False,0.015,0.095
SC4312E0,3,5730.0,35,228,148,376,67.25,10.4,65.2,24.5,False,0.07,0.162
SC4321E0,3,8580.0,10,375,221,596,101.53,41.4,53.0,5.5,False,0.416,0.334
SC4322E0,3,7230.0,16,339,162,501,86.01,47.9,8.2,43.9,False,0.217,0.222
SC4331F0,3,5040.0,9,173,86,259,43.05,74.1,10.8,15.1,False,-0.06,0.093
SC4332F0,3,4140.0,9,157,90,247,49.45,32.8,50.6,16.6,False,0.562,0.526
SC4341F0,3,5160.0,8,169,99,268,52.45,69.8,6.3,23.9,False,0.043,0.214
SC4342F0,3,4980.0,18,190,141,331,78.11,36.6,56.5,6.9,False,0.648,0.589
SC4351F0,3,720.0,7,9,13,22,30.86,31.8,59.1,9.1,False,0.011,0.118
SC4352F0,3,2160.0,4,76,51,127,28.74,39.4,53.5,7.1,False,-0.008,0.053
SC4362F0,3,2040.0,5,10,11,21,8.68,66.7,23.8,9.5,False,0.18,0.228
SC4371F0,3,1350.0,1,60,37,97,44.14,95.9,2.1,2.1,False,0.008,0.003
SC4372F0,3,3180.0,3,147,77,224,65.59,51.3,43.8,4.9,False,0.093,0.104
SC4381F0,3,4800.0,6,175,111,286,39.61,35.7,19.6,44.8,False,0.592,0.587
SC4382F0,3,5070.0,9,181,96,277,46.2,31.8,60.6,7.6,False,0.725,0.659
SC4401E0,3,3300.0,4,140,92,232,91.55,37.5,13.8,48.7,False,0.539,0.45
SC4402E0,3,7620.0,9,269,132,401,58.83,30.4,58.6,11.0,False,0.622,0.582
SC4411E0,3,6120.0,6,206,129,335,31.26,33.4,43.3,23.3,False,0.536,0.54
SC4412E0,3,3000.0,9,120,81,201,65.13,35.8,16.4,47.8,False,0.654,0.62
SC4421E0,3,4740.0,4,142,97,239,38.44,40.2,32.2,27.6,False,0.617,0.69
SC4422E0,3,2640.0,3,78,51,129,47.22,34.1,23.3,42.6,False,0.537,0.562
SC4431E0,3,2430.0,5,54,38,92,28.67,82.6,8.7,8.7,False,-0.026,0.091
SC4432E0,3,5910.0,3,181,110,291,37.06,37.5,44.3,18.2,False,0.608,0.652
SC4441E0,3,3000.0,2,124,91,215,57.18,41.9,31.2,27.0,False,0.657,0.746
SC4442E0,3,2880.0,3,85,53,138,45.39,37.7,47.8,14.5,False,0.703,0.754
SC4451F0,3,4170.0,12,203,112,315,85.8,33.7,41.0,25.4,False,0.527,0.571
SC4452F0,3,5640.0,16,255,143,398,99.76,48.0,19.6,32.4,False,0.137,0.174
SC4461F0,3,5280.0,10,159,114,273,47.55,36.3,15.8,48.0,False,0.62,0.573
SC4462F0,3,5580.0,10,169,121,290,47.97,39.3,11.4,49.3,False,0.651,0.586
