variant,phasic_percentile,tonic_percentile,n_recordings,mean_phasic_threshold_uV,mean_tonic_threshold_uV,std_phasic_threshold_uV,std_tonic_threshold_uV,sem_phasic_threshold_uV,sem_tonic_threshold_uV
ph80_to10,80.0,10.0,25,34.903,26.354,11.957,5.737,2.391,1.147
ph80_to15,80.0,15.0,25,34.903,28.862,11.957,6.379,2.391,1.276
ph80_to20,80.0,20.0,25,34.903,31.237,11.957,6.933,2.391,1.387
ph85_to10,85.0,10.0,25,44.61,26.354,14.935,5.737,2.987,1.147
ph85_to15,85.0,15.0,25,44.61,28.862,14.935,6.379,2.987,1.276
ph85_to20,85.0,20.0,25,44.61,31.237,14.935,6.933,2.987,1.387
ph90_to10,90.0,10.0,25,60.323,26.354,19.014,5.737,3.803,1.147
ph90_to15,90.0,15.0,25,60.323,28.862,19.014,6.379,3.803,1.276
ph90_to20,90.0,20.0,25,60.323,31.237,19.014,6.933,3.803,1.387
ph95_to10,95.0,10.0,25,92.007,26.354,25.665,5.737,5.133,1.147
ph95_to15,95.0,15.0,25,92.007,28.862,25.665,6.379,5.133,1.276
ph95_to20,95.0,20.0,25,92.007,31.237,25.665,6.933,5.133,1.387
