recording,n_states,total_rem_s,n_rem_periods,n_bursts,n_tonic_segs,n_events,aehm_boundary_uV,pct_tonic,pct_phasic,label_flipped,ari,nmi
SC4001E0,2,3750.0,6,179,104,283,34.91,29.7,70.3,True,-0.03,0.047
SC4002E0,2,6450.0,12,278,173,451,35.89,56.8,43.2,False,0.011,0.013
SC4011E0,2,5100.0,8,261,144,405,40.41,12.8,87.2,True,0.017,0.006
SC4012E0,2,5280.0,18,283,155,438,53.65,16.2,83.8,True,-0.002,0.0
SC4021E0,2,4890.0,15,229,134,363,40.33,19.3,80.7,True,-0.019,0.005
SC4022E0,2,5370.0,11,291,159,450,54.41,85.1,14.9,False,-0.036,0.028
SC4031E0,2,6270.0,10,285,164,449,40.94,24.3,75.7,True,-0.014,0.066
SC4032E0,2,5970.0,12,316,181,497,48.11,81.1,18.9,False,-0.024,0.127
SC4041E0,2,5880.0,24,310,144,454,38.3,15.2,84.8,True,-0.043,0.022
SC4042E0,2,8100.0,33,361,168,529,38.1,52.4,47.6,False,0.277,0.306
SC4051E0,2,2040.0,3,93,62,155,27.93,31.6,68.4,True,0.004,0.037
SC4052E0,2,5400.0,12,317,185,502,38.02,21.3,78.7,True,-0.024,0.025
SC4061E0,2,3060.0,4,135,93,228,48.89,61.4,38.6,False,0.342,0.423
SC4062E0,2,5610.0,6,260,148,408,39.53,15.9,84.1,True,-0.03,0.021
SC4071E0,2,5940.0,11,291,167,458,33.08,80.8,19.2,False,-0.029,0.028
SC4072E0,2,5040.0,31,286,153,439,44.14,79.5,20.5,False,-0.032,0.027
SC4081E0,2,3930.0,4,208,85,293,46.34,24.9,75.1,True,-0.035,0.014
SC4082E0,2,7800.0,8,480,232,712,45.09,17.8,82.2,True,-0.03,0.011
SC4091E0,2,6960.0,17,332,222,554,30.5,73.8,26.2,False,-0.01,0.013
SC4092E0,2,7950.0,12,349,208,557,35.01,83.1,16.9,False,-0.03,0.054
SC4101E0,2,6210.0,4,339,175,514,43.64,75.9,24.1,False,-0.028,0.024
SC4102E0,2,5970.0,3,337,170,507,47.24,87.2,12.8,False,-0.049,0.046
SC4111E0,2,4740.0,6,283,160,443,36.35,16.5,83.5,True,-0.024,0.011
SC4112E0,2,4530.0,7,259,140,399,30.33,83.2,16.8,False,-0.042,0.085
SC4121E0,2,7740.0,8,296,222,518,30.03,19.3,80.7,True,0.007,0.072
SC4122E0,2,5970.0,5,283,179,462,30.86,19.9,80.1,True,-0.016,0.061
SC4131E0,2,5160.0,12,293,166,459,44.35,15.3,84.7,True,-0.037,0.045
